@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% class
@attribute ok {1,0}
@data
1,276.298,39,33154,2,1,0,0,0,N/A,68.428,105,3,67.546,31,33664,0,72.776,33152,0,58.529,30,2,1,0,N/A,59.904,173.194.170.13,15169,1
2,264.863,39,33154,2,1,0,0,0,N/A,85.882,105,3,82.037,31,33664,0,92.967,33152,0,77.185,30,2,1,0,N/A,76.024,173.194.169.76,15169,1
4,197.612,39,33154,2,1,0,0,0,N/A,80.609,105,3,76.064,31,33664,0,87.005,33152,0,68.213,30,2,1,0,N/A,71.269,173.194.170.13,15169,1
7,342.906,39,33154,2,1,0,0,0,N/A,70.151,105,3,72.73,31,33664,0,81.838,33152,0,69.145,30,2,1,0,N/A,71.06,173.194.170.13,15169,1
8,270.228,39,33154,2,1,0,0,0,N/A,69.585,105,3,70.461,31,33664,0,76.322,33152,0,57.445,30,2,1,0,N/A,63.97,173.194.169.76,15169,1
13,184.021,39,33154,2,1,0,0,0,N/A,78.908,105,3,79.941,31,33664,0,95.926,33152,0,91.563,30,2,1,0,N/A,78.996,173.194.169.76,15169,1
14,296.089,39,33154,2,1,0,0,0,N/A,60.775,105,3,62.342,31,33664,0,68.285,33152,0,54.033,30,2,1,0,N/A,55.758,173.194.170.13,15169,1
15,163.41,39,33154,2,1,0,0,0,N/A,70.989,105,3,62.113,31,33664,0,78.308,33152,0,56.333,30,2,1,0,N/A,66.348,173.194.169.76,15169,1
20,71.933,39,33154,2,1,0,0,0,N/A,83.558,105,3,70.095,31,33664,0,78.144,33152,0,65.343,30,2,1,0,N/A,75.324,173.194.170.13,15169,1
21,285.02,39,33154,2,1,0,0,0,N/A,67.109,105,3,70.184,31,33664,0,74.465,33152,0,59.634,30,2,1,0,N/A,60.233,173.194.170.13,15169,1
24,189.73,39,33154,2,1,0,0,0,N/A,83.538,105,3,83.908,31,33664,0,72.324,33152,0,66.255,30,2,1,0,N/A,78.195,74.125.72.147,15169,1
32,338.7,39,33154,2,1,0,0,0,N/A,94.379,105,3,107.969,31,33664,0,83.647,33152,0,71.417,30,2,1,0,N/A,93.33,74.125.72.147,15169,1
38,296.209,39,33154,2,1,0,0,0,N/A,95.772,105,3,91.261,31,33664,0,97.652,33152,0,83.166,30,2,1,0,N/A,84.017,173.194.169.76,15169,1
42,206.934,39,33154,2,1,0,0,0,N/A,74.622,105,3,73.679,31,33664,0,80.688,33152,0,65.089,30,2,1,0,N/A,68.084,173.194.170.13,15169,1
52,382.832,39,33154,2,1,0,0,0,N/A,89.341,105,3,90.551,31,33664,0,66.274,33152,0,95.846,30,2,1,0,N/A,83.843,173.194.98.2,15169,1
56,344.735,39,33154,2,1,0,0,0,N/A,106.505,105,3,123.75,31,33664,0,94.214,33152,0,84.286,30,2,1,0,N/A,86.213,173.194.169.76,15169,1
57,278.177,39,33154,2,1,0,0,0,N/A,63.544,105,3,66.036,31,33664,0,73.965,33152,0,56.545,30,2,1,0,N/A,69.572,173.194.170.13,15169,1
69,458.881,39,33154,2,1,0,0,0,N/A,90.462,105,3,76.02,31,33664,0,91.954,33152,0,74.907,30,2,1,0,N/A,73.428,74.125.46.3,15169,1
71,295.007,39,33154,2,1,0,0,0,N/A,64.01,105,3,71.955,31,33664,0,72.218,33152,0,56.559,30,2,1,0,N/A,84.771,173.194.169.76,15169,1
75,219.491,39,33154,2,1,0,0,0,N/A,92.281,105,3,153.914,31,33664,0,99.461,33152,0,85.62,30,2,1,0,N/A,93.709,74.125.19.10,15169,1
81,320.432,39,33154,2,1,0,0,0,N/A,70.84,105,3,72.704,31,33664,0,88.411,33152,0,73.86,30,2,1,0,N/A,86.41,74.125.47.9,15169,1
93,524.944,39,33154,2,1,0,0,0,N/A,223.93,105,3,211.407,31,33664,0,243.683,33152,0,81.453,30,2,1,0,N/A,106.515,173.194.171.7,15169,1
94,182.269,39,33154,2,1,0,0,0,N/A,69.712,105,3,70.1,31,33664,0,80.704,33152,0,62.339,30,2,1,0,N/A,63.475,173.194.170.13,15169,1
97,193.994,39,33154,2,1,0,0,0,N/A,92.979,105,3,90.739,31,33664,0,139.174,33152,0,78.562,30,2,1,0,N/A,87.073,173.194.90.10,15169,1
100,197.328,39,33154,2,1,0,0,0,N/A,128.19,105,3,108.641,31,33664,0,132.68,33152,0,101.429,30,2,1,0,N/A,101.302,74.125.42.139,15169,1
102,248.005,39,33154,2,1,0,0,0,N/A,61.525,105,3,68.682,31,33664,0,77.689,33152,0,54.646,30,2,1,0,N/A,63.057,74.125.47.5,15169,1
107,259.812,39,33154,2,1,0,0,0,N/A,62.349,105,3,63.865,31,33664,0,72.301,33152,0,55.71,30,2,1,0,N/A,57.779,173.194.170.13,15169,1
110,184.633,39,33154,2,1,0,0,0,N/A,89.351,105,3,90.01,31,33664,0,92.151,33152,0,78.01,30,2,1,0,N/A,84.17,173.194.169.76,15169,1
122,353.744,39,33154,2,1,0,0,0,N/A,89.477,105,3,63.676,31,33664,0,81.921,33152,0,54,30,2,1,0,N/A,56.507,74.125.181.208,15169,1
127,335.016,39,33154,2,1,0,0,0,N/A,78.884,105,3,81.275,31,33664,0,79.013,33152,0,54.99,30,2,1,0,N/A,73.52,74.125.181.14,15169,1
133,299.826,39,33154,2,1,0,0,0,N/A,99.352,105,3,107.826,31,33664,0,111.469,33152,0,113.798,30,2,1,0,N/A,96.963,74.125.47.154,15169,1
137,281.626,39,33154,2,1,0,0,0,N/A,70.565,105,3,71.975,31,33664,0,78.627,33152,0,62.726,30,2,1,0,N/A,73.719,74.125.181.12,15169,1
138,654.061,39,33154,2,1,0,0,0,N/A,92.168,105,3,90.391,31,33664,0,114.104,33152,0,82.062,30,2,1,0,N/A,78.51,173.194.169.76,15169,1
141,340.668,39,33154,2,1,0,0,0,N/A,70.479,105,3,86.546,31,33664,0,89.822,33152,0,59.811,30,2,1,0,N/A,77.472,173.194.170.13,15169,1
143,299.595,39,33154,2,1,0,0,0,N/A,61.213,105,3,62.223,31,33664,0,80.266,33152,0,58.429,30,2,1,0,N/A,56.033,74.125.181.211,15169,1
145,386.898,39,33154,2,1,0,0,0,N/A,79.636,105,3,73.961,31,33664,0,86.73,33152,0,65.693,30,2,1,0,N/A,73.761,173.194.98.2,15169,1
148,335.865,39,33154,2,1,0,0,0,N/A,71.321,105,3,72.537,31,33664,0,80.25,33152,0,54.247,30,2,1,0,N/A,66.493,74.125.181.14,15169,1
149,331.798,39,33154,2,1,0,0,0,N/A,114.715,105,3,101.791,31,33664,0,107.633,33152,0,92.226,30,2,1,0,N/A,95.259,74.125.181.7,15169,1
153,437.643,39,33154,2,1,0,0,0,N/A,77.29,105,3,131.002,31,33664,0,92.907,33152,0,60.687,30,2,1,0,N/A,63.027,173.194.98.2,15169,1
165,367.354,39,33154,2,1,0,0,0,N/A,77.425,105,3,104.818,31,33664,0,105.565,33152,0,75.081,30,2,1,0,N/A,89.005,173.194.98.2,15169,1
169,357.023,39,33154,2,1,0,0,0,N/A,71.452,105,3,72.898,31,33664,0,126.799,33152,0,65.292,30,2,1,0,N/A,66.222,173.194.98.2,15169,1
