@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% chaos.py
@attribute chaos2_rt numeric % response time
@attribute chaos2_size numeric % response size
@attribute chaos2_rcode numeric % response code
@attribute chaos2_version_bind numeric % request field
@attribute chaos2_version_hostname numeric % request field
@attribute chaos2_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% ipv6.py
@attribute ipv6_rt numeric %% response time
@attribute ipv6_size numeric %% response size
@attribute ipv6_rcode numeric %% response code
% class
@attribute ok {1,0}
@data
2,264.863,39,33154,2,1,0,0,0,N/A,85.882,105,3,82.037,31,33664,0,92.967,33152,0,77.185,30,2,1,0,N/A,89.398,42,2,0,1,N/A,76.024,173.194.169.76,15169,84.646,74,0,1
8,270.228,39,33154,2,1,0,0,0,N/A,69.585,105,3,70.461,31,33664,0,76.322,33152,0,57.445,30,2,1,0,N/A,77.285,42,2,0,1,N/A,63.97,173.194.169.76,15169,64.219,74,0,1
13,184.021,39,33154,2,1,0,0,0,N/A,78.908,105,3,79.941,31,33664,0,95.926,33152,0,91.563,30,2,1,0,N/A,88.583,42,2,0,1,N/A,78.996,173.194.169.76,15169,77.884,74,0,1
14,296.089,39,33154,2,1,0,0,0,N/A,60.775,105,3,62.342,31,33664,0,68.285,33152,0,54.033,30,2,1,0,N/A,68.036,42,2,0,1,N/A,55.758,173.194.170.13,15169,60.295,74,0,1
15,163.41,39,33154,2,1,0,0,0,N/A,70.989,105,3,62.113,31,33664,0,78.308,33152,0,56.333,30,2,1,0,N/A,78.154,42,2,0,1,N/A,66.348,173.194.169.76,15169,60.714,74,0,1
20,71.933,39,33154,2,1,0,0,0,N/A,83.558,105,3,70.095,31,33664,0,78.144,33152,0,65.343,30,2,1,0,N/A,92.282,42,2,0,1,N/A,75.324,173.194.170.13,15169,68.292,74,0,1
21,285.02,39,33154,2,1,0,0,0,N/A,67.109,105,3,70.184,31,33664,0,74.465,33152,0,59.634,30,2,1,0,N/A,70.598,42,2,0,1,N/A,60.233,173.194.170.13,15169,62.468,74,0,1
24,189.73,39,33154,2,1,0,0,0,N/A,83.538,105,3,83.908,31,33664,0,72.324,33152,0,66.255,30,2,1,0,N/A,71.678,42,2,0,1,N/A,78.195,74.125.72.147,15169,222.798,74,0,1
46,217.809,39,33154,2,1,0,0,0,N/A,88.183,105,3,87.551,31,33664,0,106.534,33152,0,82.77,30,2,1,0,N/A,98.269,42,2,0,1,N/A,87.041,74.125.47.141,15169,89.782,74,0,1
52,382.832,39,33154,2,1,0,0,0,N/A,89.341,105,3,90.551,31,33664,0,66.274,33152,0,95.846,30,2,1,0,N/A,96.577,42,2,0,1,N/A,83.843,173.194.98.2,15169,97.572,74,0,1
56,344.735,39,33154,2,1,0,0,0,N/A,106.505,105,3,123.75,31,33664,0,94.214,33152,0,84.286,30,2,1,0,N/A,96.571,42,2,0,1,N/A,86.213,173.194.169.76,15169,86.856,74,0,1
57,278.177,39,33154,2,1,0,0,0,N/A,63.544,105,3,66.036,31,33664,0,73.965,33152,0,56.545,30,2,1,0,N/A,75.358,42,2,0,1,N/A,69.572,173.194.170.13,15169,86.71,74,0,1
59,351.547,39,33154,2,1,0,0,0,N/A,77.931,105,3,78.712,31,33664,0,88.752,33152,0,69.208,30,2,1,0,N/A,90.658,42,2,0,1,N/A,72.234,74.125.73.89,15169,79.051,74,0,1
60,287.739,39,33154,2,1,0,0,0,N/A,87.717,105,3,86.173,31,33664,0,135.668,33152,0,75.627,30,2,1,0,N/A,79.343,42,2,0,1,N/A,81.725,173.194.169.76,15169,70.589,74,0,1
65,291.997,39,33154,2,1,0,0,0,N/A,69.928,105,3,71.202,31,33664,0,82.909,33152,0,62.243,30,2,1,0,N/A,78.781,42,2,0,1,N/A,71.015,74.125.47.4,15169,75.968,74,0,1
67,297.34,39,33154,2,1,0,0,0,N/A,74.948,105,3,77.367,31,33664,0,129.903,33152,0,61.551,30,2,1,0,N/A,81.036,42,2,0,1,N/A,73.695,173.194.170.13,15169,77.242,74,0,1
69,458.881,39,33154,2,1,0,0,0,N/A,90.462,105,3,76.02,31,33664,0,91.954,33152,0,74.907,30,2,1,0,N/A,86.314,42,2,0,1,N/A,73.428,74.125.46.3,15169,73.207,74,0,1
75,219.491,39,33154,2,1,0,0,0,N/A,92.281,105,3,153.914,31,33664,0,99.461,33152,0,85.62,30,2,1,0,N/A,103.938,42,2,0,1,N/A,93.709,74.125.19.10,15169,111.229,74,0,1
86,374.313,39,33154,2,1,0,0,0,N/A,108.072,105,3,86.898,31,33664,0,112.521,33152,0,79.632,30,2,1,0,N/A,121.174,42,2,0,1,N/A,104.973,74.125.72.147,15169,110.416,74,0,1
