@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% chaos.py
@attribute chaos2_rt numeric % response time
@attribute chaos2_size numeric % response size
@attribute chaos2_rcode numeric % response code
@attribute chaos2_version_bind numeric % request field
@attribute chaos2_version_hostname numeric % request field
@attribute chaos2_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% ipv6.py
@attribute ipv6_rt numeric %% response time
@attribute ipv6_size numeric %% response size
@attribute ipv6_rcode numeric %% response code
% class
@attribute ok {1,0}
@data
1,276.298,39,33154,2,1,0,0,0,N/A,68.428,105,3,67.546,31,33664,0,72.776,33152,0,58.529,30,2,1,0,N/A,73.286,42,2,0,1,N/A,59.904,173.194.170.13,15169,63.696,74,0,1
2,264.863,39,33154,2,1,0,0,0,N/A,85.882,105,3,82.037,31,33664,0,92.967,33152,0,77.185,30,2,1,0,N/A,89.398,42,2,0,1,N/A,76.024,173.194.169.76,15169,84.646,74,0,1
4,197.612,39,33154,2,1,0,0,0,N/A,80.609,105,3,76.064,31,33664,0,87.005,33152,0,68.213,30,2,1,0,N/A,81.976,42,2,0,1,N/A,71.269,173.194.170.13,15169,79.081,74,0,1
7,342.906,39,33154,2,1,0,0,0,N/A,70.151,105,3,72.73,31,33664,0,81.838,33152,0,69.145,30,2,1,0,N/A,77.053,42,2,0,1,N/A,71.06,173.194.170.13,15169,68.763,74,0,1
8,270.228,39,33154,2,1,0,0,0,N/A,69.585,105,3,70.461,31,33664,0,76.322,33152,0,57.445,30,2,1,0,N/A,77.285,42,2,0,1,N/A,63.97,173.194.169.76,15169,64.219,74,0,1
11,277.684,39,33154,2,1,0,0,0,N/A,82.563,105,3,71.356,31,33664,0,92.44,33152,0,63.696,30,2,1,0,N/A,76.934,42,2,0,1,N/A,81.629,173.194.170.13,15169,83.776,74,0,1
13,184.021,39,33154,2,1,0,0,0,N/A,78.908,105,3,79.941,31,33664,0,95.926,33152,0,91.563,30,2,1,0,N/A,88.583,42,2,0,1,N/A,78.996,173.194.169.76,15169,77.884,74,0,1
14,296.089,39,33154,2,1,0,0,0,N/A,60.775,105,3,62.342,31,33664,0,68.285,33152,0,54.033,30,2,1,0,N/A,68.036,42,2,0,1,N/A,55.758,173.194.170.13,15169,60.295,74,0,1
15,163.41,39,33154,2,1,0,0,0,N/A,70.989,105,3,62.113,31,33664,0,78.308,33152,0,56.333,30,2,1,0,N/A,78.154,42,2,0,1,N/A,66.348,173.194.169.76,15169,60.714,74,0,1
20,71.933,39,33154,2,1,0,0,0,N/A,83.558,105,3,70.095,31,33664,0,78.144,33152,0,65.343,30,2,1,0,N/A,92.282,42,2,0,1,N/A,75.324,173.194.170.13,15169,68.292,74,0,1
21,285.02,39,33154,2,1,0,0,0,N/A,67.109,105,3,70.184,31,33664,0,74.465,33152,0,59.634,30,2,1,0,N/A,70.598,42,2,0,1,N/A,60.233,173.194.170.13,15169,62.468,74,0,1
24,189.73,39,33154,2,1,0,0,0,N/A,83.538,105,3,83.908,31,33664,0,72.324,33152,0,66.255,30,2,1,0,N/A,71.678,42,2,0,1,N/A,78.195,74.125.72.147,15169,222.798,74,0,1
28,375.95,39,33154,2,1,0,0,0,N/A,103.96,105,3,110.326,31,33664,0,92.464,33152,0,77.634,30,2,1,0,N/A,94.489,42,2,0,1,N/A,224.28,74.125.72.147,15169,118.552,74,0,1
32,338.7,39,33154,2,1,0,0,0,N/A,94.379,105,3,107.969,31,33664,0,83.647,33152,0,71.417,30,2,1,0,N/A,84.603,42,2,0,1,N/A,93.33,74.125.72.147,15169,93.625,74,0,1
34,282.707,39,33154,2,1,0,0,0,N/A,65.816,105,3,66.67,31,33664,0,74.948,33152,0,58.049,30,2,1,0,N/A,73.309,42,2,0,1,N/A,61.412,173.194.169.76,15169,65.315,74,0,1
38,296.209,39,33154,2,1,0,0,0,N/A,95.772,105,3,91.261,31,33664,0,97.652,33152,0,83.166,30,2,1,0,N/A,96.81,42,2,0,1,N/A,84.017,173.194.169.76,15169,89.37,74,0,1
40,287.989,39,33154,2,1,0,0,0,N/A,66.878,105,3,62.336,31,33664,0,68.676,33152,0,54.192,30,2,1,0,N/A,68.235,42,2,0,1,N/A,56.546,173.194.98.2,15169,60.061,74,0,1
42,206.934,39,33154,2,1,0,0,0,N/A,74.622,105,3,73.679,31,33664,0,80.688,33152,0,65.089,30,2,1,0,N/A,79.449,42,2,0,1,N/A,68.084,173.194.170.13,15169,76.022,74,0,1
45,350.695,39,33154,2,1,0,0,0,N/A,262.145,105,3,100.924,31,33664,0,96.141,33152,0,77.848,30,2,1,0,N/A,90.785,42,2,0,1,N/A,145.058,74.125.47.141,15169,91.359,74,0,1
46,217.809,39,33154,2,1,0,0,0,N/A,88.183,105,3,87.551,31,33664,0,106.534,33152,0,82.77,30,2,1,0,N/A,98.269,42,2,0,1,N/A,87.041,74.125.47.141,15169,89.782,74,0,1
48,309.62,39,33154,2,1,0,0,0,N/A,77.037,105,3,64.211,31,33664,0,85.1,33152,0,55.421,30,2,1,0,N/A,73.428,42,2,0,1,N/A,55.599,74.125.181.6,15169,62.37,74,0,1
51,610.688,39,33154,2,1,0,0,0,N/A,214.55,105,3,208.793,31,33664,0,227.856,33152,0,201.074,30,2,1,0,N/A,214.194,42,2,0,1,N/A,209.434,173.194.91.88,15169,404.718,74,0,1
52,382.832,39,33154,2,1,0,0,0,N/A,89.341,105,3,90.551,31,33664,0,66.274,33152,0,95.846,30,2,1,0,N/A,96.577,42,2,0,1,N/A,83.843,173.194.98.2,15169,97.572,74,0,1
55,305.434,39,33154,2,1,0,0,0,N/A,76.5,105,3,75.268,31,33664,0,84.621,33152,0,61.973,30,2,1,0,N/A,75.67,42,2,0,1,N/A,69.095,74.125.73.65,15169,76.205,74,0,1
